Medicine 💊 ,Start Time,End Time,Duration,Side,Type,Count,Amount (ml/cc)
,5/24/2023 17:46,5/24/2023 18:11,25,Right,Breastfeeding,,
Motrin,5/24/2023 19:58,5/24/2023 20:32,34,Left,Breastfeeding,1,
,5/24/2023 22:32,5/24/2023 22:49,17,Right,Breastfeeding,,
Motrin,5/24/2023 23:57,5/25/2023 0:23,26,Left,Breastfeeding,1,
,5/25/2023 3:50,5/25/2023 4:10,20,Right,Breastfeeding,,
Motrin,5/25/2023 6:40,5/25/2023 7:00,20,Left,Breastfeeding,1,
,5/25/2023 8:20,5/25/2023 8:40,20,Right,Breastfeeding,,
,5/25/2023 9:16,5/25/2023 9:31,15,Left,Breastfeeding,,
Motrin,5/25/2023 11:36,5/25/2023 11:52,16,Right,Breastfeeding,1,
,5/25/2023 14:07,5/25/2023 14:38,31,Left,Breastfeeding,,
,5/25/2023 15:03,5/25/2023 15:17,14,Right,Breastfeeding,,
Tylenol ,5/25/2023 17:01,5/25/2023 17:36,35,Right,Breastfeeding,1,
,5/25/2023 17:44,5/25/2023 17:58,14,Left,Breastfeeding,,
,5/25/2023 20:06,5/25/2023 20:26,20,Left,Breastfeeding,,
,5/25/2023 20:31,5/25/2023 20:53,22,Right,Breastfeeding,,
,5/25/2023 22:40,5/25/2023 22:52,12,Left,Breastfeeding,,
,5/25/2023 23:04,5/25/2023 23:19,15,Left,Breastfeeding,,
Tylenol ,5/25/2023 23:24,5/25/2023 23:36,12,Right,Breastfeeding,1,
,5/26/2023 1:00,5/26/2023 1:19,19,Right,Breastfeeding,,
,5/26/2023 1:50,5/26/2023 2:05,15,Left,Breastfeeding,,
,5/26/2023 4:16,5/26/2023 4:36,20,Right,Breastfeeding,,
,5/26/2023 4:40,5/26/2023 5:00,20,Left ,Breastfeeding,,
,5/26/2023 10:14,5/26/2023 10:44,30,Right,Breastfeeding,,
,5/26/2023 12:15,5/26/2023 12:23,8,Left,Breastfeeding,,
,5/26/2023 12:23,5/26/2023 12:30,7,Right,Breastfeeding,,
Tylenol ,5/26/2023 13:35,5/26/2023 13:49,14,Left,Breastfeeding,1,
,5/26/2023 13:55,5/26/2023 14:10,15,Right,Breastfeeding,,
,5/26/2023 16:28,5/26/2023 17:04,36,Left,Breastfeeding,,
,5/26/2023 17:08,5/26/2023 17:15,7,Right,Breastfeeding,,
,5/26/2023 19:11,5/26/2023 19:37,26,Right,Breastfeeding,,
,5/26/2023 19:45,5/26/2023 19:58,13,Left,Breastfeeding,,
Motrin,5/26/2023 21:57,5/26/2023 22:17,20,Left,Breastfeeding,1,
,5/26/2023 22:28,5/26/2023 22:35,7,Right,Breastfeeding,,
,5/26/2023 23:14,5/26/2023 23:29,15,Right,Breastfeeding,,
,5/27/2023 1:18,5/27/2023 1:38,20,Left,Breastfeeding,,
,5/27/2023 1:48,5/27/2023 2:07,19,Right,Breastfeeding,,
,5/27/2023 4:22,5/27/2023 4:35,13,Left,Breastfeeding,,
,5/27/2023 4:37,5/27/2023 4:55,18,Right,Breastfeeding,,
,5/27/2023 5:00,5/27/2023 5:07,7,Right,Breastfeeding,,
,5/27/2023 6:17,5/27/2023 6:29,12,Left,Breastfeeding,,
Tylenol ,5/27/2023 10:15,5/27/2023 10:39,24,Right,Breastfeeding,1,
,5/27/2023 11:00,5/27/2023 11:15,15,Left,Breastfeeding,,
,5/27/2023 14:02,5/27/2023 14:25,23,Left,Breastfeeding,,
Motrin,5/27/2023 15:02,5/27/2023 15:21,19, Right,Breastfeeding,1,
,5/27/2023 16:41,5/27/2023 17:09,28, Left,Breastfeeding,,
,5/27/2023 18:35,5/27/2023 18:54,19, Right ,Breastfeeding,,
,5/27/2023 18:55,5/27/2023 19:14,19, Left,Breastfeeding,,
,5/27/2023 19:50,5/27/2023 20:00,10,,Bath,,
,5/27/2023 22:45,5/27/2023 23:10,25, Right ,Breastfeeding,,
,5/27/2023 23:26,5/27/2023 23:40,14, Left,Breastfeeding,,
,5/28/2023 2:41,5/28/2023 2:51,10, Left ,Breastfeeding,,
Tylenol ,5/28/2023 2:56,5/28/2023 3:11,15, Right,Breastfeeding,1,
,5/28/2023 5:52,5/28/2023 6:09,17, Right,Breastfeeding,,
